MENU_ID	LVL	NAME	PATH
FClpLclMgt	3	컨테이너적입관리 (LCL)	cfs/FClpLclMgt
FClpSchMgt	3	컨테이너적입현황 조회	cfs/FClpSchMgt
FCertMgt	3	CERTIFICATE 관리	cfs/FCertMgt
FTrfCrgIsuMgt	3	기타이고반출 관리	cfs/FTrfCrgIsuMgt
FRcvCOrdSchList	3	입고현황조회(고객용)	cfs/FRcvCOrdSchList
CFS_FCL	2	수출업무[FCL]
FRcvHOrdReqMgt	3	입고오더등록 (현수)	cfs/FRcvHOrdReqMgt
FRcvHOrdMgt	3	입고오더관리 (현수)	cfs/FRcvHOrdMgt
FRcvHOrdSchMgt	3	입고컨테이너관리 (현수)	cfs/FRcvHOrdSchMgt
FRcvHOrdTransSttMgt	3	거래명세서 관리(현수)	cfs/FRcvHOrdTransSttMgt
FCntrCarryMgt	3	컨테이너 반출입 관리	cfs/FCntrCarryMgt
CFS_DOMESTIC	2	수입업무[내국화물]
FCntrDBRgstMgt	3	컨테이너 DB 등록	cfs/FCntrDBRgstMgt
FCntrDBListMgt	3	컨테이너 DB리스트	cfs/FCntrDBListMgt
FOrdMgt	3	내장통관직상차 관리	cfs/FOrdMgt
FBltCustTransSttMgt	3	내장통관 거래명세서 관리	cfs/FBltCustTransSttMgt
CFS_ALLO	2	배차관리
FShipOrdMgt	3	Shipping Order 관리	cfs/FShipOrdMgt
FExAlloMgtP	3	배차관리(수출) 픽업	cfs/FExAlloMgtP
FExAlloMgtR	3	배차관리(수출) 반입	cfs/FExAlloMgtR
FImAlloMgt	3	배차관리(수입)	cfs/FImAlloMgt
FPrismGateLogMgt	3	게이트로그 프리즘 3.0	cfs/FPrismGateLogMgt
CFS_COMMON	2	공통업무
FCfsTariffMgt	3	CFS 요율관리	cfs/FCfsTariffMgt
FCntrDailyMov	3	컨테이너 Movement	cfs/FCntrDailyMov
FBillCollStatus	3	청구 및 수금현황	cfs/FBillCollStatus
FOtherTransSttMgt	3	기타 거래명세서 관리	cfs/FOtherTransSttMgt
FTotSaleStatus	3	통합 매출 조회	cfs/FTotSaleStatus
FSalesTaxMgt	3	매출세금계산서 관리	cfs/FSalesTaxMgt
BwsPicPFList	3	(CFS) CFS 영업사원 실적현황	bws/BwsPicPFList
CFS_MA	3	CFS 기준정보
MdmCfsRegionMgt	4	CFS 권역관리	mdm/code/MdmCfsRegionMgt
MdmCfsTariffMgt	4	CFS 타리프 관리	mdm/tariff/MdmCfsTariffMgt
MdmCountry	4	국가코드 관리	mdm/code/MdmCountryMgt
MdmCarrier	4	선사/항공사 관리	mdm/code/MdmCarrierMgt
MdmCurrency	4	통화코드 관리	mdm/code/MdmCurrencyMgt
MdmWarehouseMgt	4	창고 코드 관리	mdm/code/MdmWarehouseMgt
FShprMgt	4	CFS 화주 관리	cfs/FShprMgt
FCfsSalesItemMgt	4	영업창고 상품코드	cfs/FCfsSalesItemMgt
CFS_SALES	2	CFS영업창고
FCfsSalesInMgt	3	반입관리(영업창고)	cfs/FCfsSalesInMgt
FCfsSalesInSearch	3	반입조회(영업창고)	cfs/FCfsSalesInSearch
FCfsSalesOutMgt	3	반출관리(영업창고)	cfs/FCfsSalesOutMgt
FCfsSalesOutSearch	3	반출조회(영업창고)	cfs/FCfsSalesOutSearch
FCfsSalesStock	3	재고조회(영업창고)	cfs/FCfsSalesStock
FCfsSalesAcct	3	보관료 정산관리(영업창고)	cfs/FCfsSalesAcct
MA	1	공통 기준정보
MA_1200060	2	거래처 계약관리	mdm/customer/MdmContract
MA_1200010	2	배차차량 관리	mdm/code/MdmDspVhcMgt
MA_103000	2	위험물 관리	mdm/code/MdmImdgMgt
MA_101400	2	선사 관리	mdm/code/MdmLineMgt
MA_102000	2	포트 코드 관리	mdm/code/MdmPortMgt
MA_1200062	2	위수탁 및 장기용차 계약관리	mdm/customer/MdmVhcContract
MA_1200071	2	특이사항 관리대장	mdm/others/MdmInternalNote
MA_1200072	2	보관소 관리대장	mdm/others/MdmStorage
MA_1400010	2	장치장 관리	mdm/facl/MdmBndFaclMgt
MA_1100040	2	터미널 관리	mdm/terminal/MdmTerminalMgt
MdmVslMgt	2	모선 관리	mdm/code/MdmVslMgt
CM	1	시스템
CM_1100000	2	사용자 관리
CM_1100010	3	회사 관리	mdm/organization/MdmCorpMgt
CM_1100020	3	국양 직원 관리	cms/comm/CmsUserMgt
CM_1100030	3	고객사 직원 관리	cms/comm/CmsFwdUserMgt
CM_1100040	3	협력사 직원 관리	cms/comm/CmsPtnUserMgt
CM_1100050	3	사용자별 권한설정	mdm/user/MdmUserSetting
CM_990000	2	팝업관리(CM)
CmsFileAgentPopup	3	파일관리팝업	cms/popup/CmsFileAgentPopup
AlloStatusPopup	3	배차현황 팝업	allocation/popup/AlloStatusPopup
DV_160000	2	대시보드
Dsh01	3	Main	dsh/dashboard/Dsh01
LG	1	법제도이행관리
PerformDeclareMgt	2	실적신고관리	legal/PerformDeclareMgt
VhcLocTrckMgt	2	차량위치추적	legal/VhcLocTrckMgt
DV_170000	1	고객서비스관리	db/request
